2023-03-16_22-32-45 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.13.Final
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-8] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-8] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-1] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-1] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-2] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-2] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-5] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-5] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-6] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-6] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-9] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-9] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-8] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-8] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-9] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-9] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-10] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-3] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-4] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - User found
2023-03-16_22-32-45 [http-nio-8400-exec-7] INFO  c.c.a.service.JwtUserDetailsService - user successfully located
